 5.00  6500. -5.0  2.0   0.4276   0.3627   0.3432 
 0.50  6750. -5.0  2.0   0.4963   0.4488   0.2511 
 1.00  6750. -5.0  2.0   0.4875   0.4437   0.2283 
 1.50  6750. -5.0  2.0   0.4831   0.4425   0.2069 
 2.00  6750. -5.0  2.0   0.4796   0.4418   0.1895 
 2.50  6750. -5.0  2.0   0.4258   0.3648   0.3304 
 3.00  6750. -5.0  2.0   0.4237   0.3607   0.3369 
 3.50  6750. -5.0  2.0   0.4257   0.3632   0.3309 
 4.00  6750. -5.0  2.0   0.4268   0.3642   0.3285 
 4.50  6750. -5.0  2.0   0.4267   0.3640   0.3284 
 5.00  6750. -5.0  2.0   0.4244   0.3608   0.3332 
 0.50  7000. -5.0  2.0   0.4916   0.4384   0.2827 
 1.00  7000. -5.0  2.0   0.4795   0.4305   0.2589 
 1.50  7000. -5.0  2.0   0.4727   0.4276   0.2335 
 2.00  7000. -5.0  2.0   0.4698   0.4280   0.2112 
 2.50  7000. -5.0  2.0   0.4676   0.4284   0.1944 
 3.00  7000. -5.0  2.0   0.4157   0.3533   0.3354 
 3.50  7000. -5.0  2.0   0.4159   0.3524   0.3367 
 4.00  7000. -5.0  2.0   0.4181   0.3550   0.3317 
 4.50  7000. -5.0  2.0   0.4196   0.3569   0.3282 
 5.00  7000. -5.0  2.0   0.4185   0.3554   0.3304 
 1.00  7250. -5.0  2.0   0.4714   0.4170   0.2911 
 1.50  7250. -5.0  2.0   0.4621   0.4121   0.2637 
 2.00  7250. -5.0  2.0   0.4574   0.4112   0.2382 
 2.50  7250. -5.0  2.0   0.4571   0.4142   0.2159 
 3.00  7250. -5.0  2.0   0.4561   0.4154   0.2006 
 3.50  7250. -5.0  2.0   0.4062   0.3426   0.3405 
 4.00  7250. -5.0  2.0   0.4081   0.3442   0.3380 
 4.50  7250. -5.0  2.0   0.4111   0.3479   0.3318 
 5.00  7250. -5.0  2.0   0.4115   0.3482   0.3310 
 1.00  7500. -5.0  2.0   0.4628   0.4040   0.3189 
 1.50  7500. -5.0  2.0   0.4515   0.3968   0.2934 
 2.00  7500. -5.0  2.0   0.4448   0.3945   0.2661 
 2.50  7500. -5.0  2.0   0.4431   0.3961   0.2418 
 3.00  7500. -5.0  2.0   0.4449   0.4007   0.2217 
 3.50  7500. -5.0  2.0   0.4454   0.4031   0.2085 
 4.00  7500. -5.0  2.0   0.4025   0.3386   0.3367 
 4.50  7500. -5.0  2.0   0.4022   0.3384   0.3367 
 5.00  7500. -5.0  2.0   0.4032   0.3394   0.3351 
 1.50  7750. -5.0  2.0   0.4404   0.3821   0.3187 
 2.00  7750. -5.0  2.0   0.4325   0.3782   0.2921 
 2.50  7750. -5.0  2.0   0.4285   0.3779   0.2670 
 3.00  7750. -5.0  2.0   0.4301   0.3826   0.2449 
 3.50  7750. -5.0  2.0   0.4338   0.3884   0.2281 
 4.00  7750. -5.0  2.0   0.4351   0.3910   0.2177 
 4.50  7750. -5.0  2.0   0.3930   0.3285   0.3422 
 5.00  7750. -5.0  2.0   0.3945   0.3301   0.3401 
 1.50  8000. -5.0  2.0   0.4302   0.3696   0.3369 
 2.00  8000. -5.0  2.0   0.4203   0.3632   0.3129 
 2.50  8000. -5.0  2.0   0.4156   0.3621   0.2884 
 3.00  8000. -5.0  2.0   0.4144   0.3640   0.2666 
 3.50  8000. -5.0  2.0   0.4187   0.3707   0.2477 
 4.00  8000. -5.0  2.0   0.4236   0.3768   0.2353 
 4.50  8000. -5.0  2.0   0.4251   0.3790   0.2273 
 5.00  8000. -5.0  2.0   0.3847   0.3196   0.3465 
 2.00  8250. -5.0  2.0   0.4092   0.3507   0.3266 
 2.50  8250. -5.0  2.0   0.4030   0.3476   0.3043 
 3.00  8250. -5.0  2.0   0.4011   0.3486   0.2834 
 3.50  8250. -5.0  2.0   0.4021   0.3519   0.2659 
 4.00  8250. -5.0  2.0   0.4089   0.3601   0.2520 
 4.50  8250. -5.0  2.0   0.4135   0.3655   0.2420 
 5.00  8250. -5.0  2.0   0.3780   0.3129   0.3464 
 1.50  8500. -5.0  2.0   0.4162   0.3541   0.3526 
 2.00  8500. -5.0  2.0   0.3995   0.3402   0.3346 
 2.50  8500. -5.0  2.0   0.3915   0.3352   0.3135 
 3.00  8500. -5.0  2.0   0.3886   0.3347   0.2955 
 3.50  8500. -5.0  2.0   0.3891   0.3375   0.2790 
 4.00  8500. -5.0  2.0   0.3921   0.3421   0.2653 
 4.50  8500. -5.0  2.0   0.4003   0.3509   0.2549 
 5.00  8500. -5.0  2.0   0.4036   0.3538   0.2506 
 2.00  8750. -5.0  2.0   0.3921   0.3326   0.3385 
 2.50  8750. -5.0  2.0   0.3817   0.3251   0.3185 
 3.00  8750. -5.0  2.0   0.3776   0.3233   0.3015 
 3.50  8750. -5.0  2.0   0.3772   0.3246   0.2880 
 4.00  8750. -5.0  2.0   0.3787   0.3276   0.2762 
 4.50  8750. -5.0  2.0   0.3837   0.3334   0.2666 
 5.00  8750. -5.0  2.0   0.3912   0.3405   0.2608 
 1.50  9000. -5.0  2.0   0.4107   0.3483   0.3556 
 2.00  9000. -5.0  2.0   0.3866   0.3271   0.3406 
 2.50  9000. -5.0  2.0   0.3737   0.3171   0.3207 
 3.00  9000. -5.0  2.0   0.3679   0.3136   0.3041 
 3.50  9000. -5.0  2.0   0.3664   0.3137   0.2921 
 4.00  9000. -5.0  2.0   0.3674   0.3158   0.2831 
 4.50  9000. -5.0  2.0   0.3692   0.3188   0.2739 
 5.00  9000. -5.0  2.0   0.3711   0.3219   0.2649 
 2.00  9250. -5.0  2.0   0.3824   0.3228   0.3421 
 2.50  9250. -5.0  2.0   0.3672   0.3106   0.3224 
 3.00  9250. -5.0  2.0   0.3599   0.3057   0.3054 
 3.50  9250. -5.0  2.0   0.3574   0.3047   0.2938 
 4.00  9250. -5.0  2.0   0.3576   0.3058   0.2865 
 4.50  9250. -5.0  2.0   0.3591   0.3081   0.2799 
 5.00  9250. -5.0  2.0   0.3605   0.3105   0.2724 
 2.00  9500. -5.0  2.0   0.3792   0.3195   0.3436 
 2.50  9500. -5.0  2.0   0.3621   0.3057   0.3229 
 3.00  9500. -5.0  2.0   0.3535   0.2996   0.3057 
 3.50  9500. -5.0  2.0   0.3501   0.2978   0.2937 
 4.00  9500. -5.0  2.0   0.3492   0.2976   0.2876 
 4.50  9500. -5.0  2.0   0.3499   0.2988   0.2831 
 5.00  9500. -5.0  2.0   0.3510   0.3005   0.2779 
